"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUS","POP","TOT","MLN_PER","A","1995",18.005,
"AUS","POP","TOT","MLN_PER","A","1996",18.225,
"AUS","POP","TOT","MLN_PER","A","1997",18.423,
"AUS","POP","TOT","MLN_PER","A","1998",18.608,
"AUS","POP","TOT","MLN_PER","A","1999",18.812,
"AUS","POP","TOT","MLN_PER","A","2000",19.029,
"AUS","POP","TOT","MLN_PER","A","2001",19.275,
"AUS","POP","TOT","MLN_PER","A","2002",19.495,
"AUS","POP","TOT","MLN_PER","A","2003",19.721,
"AUS","POP","TOT","MLN_PER","A","2004",19.933,
"AUS","POP","TOT","MLN_PER","A","2005",20.177,
"AUS","POP","TOT","MLN_PER","A","2006",20.451,
"AUS","POP","TOT","MLN_PER","A","2007",20.828,
"AUS","POP","TOT","MLN_PER","A","2008",21.249,
"AUS","POP","TOT","MLN_PER","A","2009",21.692,
"AUS","POP","TOT","MLN_PER","A","2010",22.032,
"AUS","POP","TOT","MLN_PER","A","2011",22.34,
"AUS","POP","TOT","MLN_PER","A","2012",22.728,
"AUS","POP","TOT","MLN_PER","A","2013",23.126,
"AUT","POP","TOT","MLN_PER","A","1995",7.948278,
"AUT","POP","TOT","MLN_PER","A","1996",7.959016,
"AUT","POP","TOT","MLN_PER","A","1997",7.968041,
"AUT","POP","TOT","MLN_PER","A","1998",7.976788,
"AUT","POP","TOT","MLN_PER","A","1999",7.992323,
"AUT","POP","TOT","MLN_PER","A","2000",8.011566,
"AUT","POP","TOT","MLN_PER","A","2001",8.042293,
"AUT","POP","TOT","MLN_PER","A","2002",8.082121,
"AUT","POP","TOT","MLN_PER","A","2003",8.118245,
"AUT","POP","TOT","MLN_PER","A","2004",8.169441,
"AUT","POP","TOT","MLN_PER","A","2005",8.225278,
"AUT","POP","TOT","MLN_PER","A","2006",8.267948,
"AUT","POP","TOT","MLN_PER","A","2007",8.295189,
"AUT","POP","TOT","MLN_PER","A","2008",8.321541,
"AUT","POP","TOT","MLN_PER","A","2009",8.341483,
"AUT","POP","TOT","MLN_PER","A","2010",8.361069,
"AUT","POP","TOT","MLN_PER","A","2011",8.388534,
"AUT","POP","TOT","MLN_PER","A","2012",8.426311,
"AUT","POP","TOT","MLN_PER","A","2013",8.46857,"B"
"BEL","POP","TOT","MLN_PER","A","1995",10.13681,
"BEL","POP","TOT","MLN_PER","A","1996",10.15664,
"BEL","POP","TOT","MLN_PER","A","1997",10.18125,
"BEL","POP","TOT","MLN_PER","A","1998",10.20301,
"BEL","POP","TOT","MLN_PER","A","1999",10.22642,
"BEL","POP","TOT","MLN_PER","A","2000",10.25125,
"BEL","POP","TOT","MLN_PER","A","2001",10.28657,
"BEL","POP","TOT","MLN_PER","A","2002",10.33278,
"BEL","POP","TOT","MLN_PER","A","2003",10.37613,
"BEL","POP","TOT","MLN_PER","A","2004",10.42114,
"BEL","POP","TOT","MLN_PER","A","2005",10.47862,
"BEL","POP","TOT","MLN_PER","A","2006",10.54796,
"BEL","POP","TOT","MLN_PER","A","2007",10.6257,
"BEL","POP","TOT","MLN_PER","A","2008",10.70997,
"BEL","POP","TOT","MLN_PER","A","2009",10.79649,
"BEL","POP","TOT","MLN_PER","A","2010",10.92027,
"BEL","POP","TOT","MLN_PER","A","2011",11.04774,
"BEL","POP","TOT","MLN_PER","A","2012",11.12825,
"BEL","POP","TOT","MLN_PER","A","2013",11.17844,
"CAN","POP","TOT","MLN_PER","A","1995",29.30231,
"CAN","POP","TOT","MLN_PER","A","1996",29.61022,
"CAN","POP","TOT","MLN_PER","A","1997",29.90595,
